112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/pic4-5.png HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/x3.png HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/x3_1.png HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /Resources/Web/Images/en.jpg HTTP/1.1" 404 1107
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /Resources/Web/Images/down-arrow.png HTTP/1.1" 404 1115
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /Resources/Web/Images/pic1.jpg HTTP/1.1" 404 1109
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/pic4-2.png HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/pic4-3.png HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /Resources/Web/Css/fonts/MYRIADSETPROTHIN.eot HTTP/1.1" 404 1128
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/pic5.jpg HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/6ebf7a58-86c6-43a9-baad-1498789fa626.png_406x235.jpeg HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/03deed0e-fc27-4a63-9ade-89e31424a895.png_406x235.jpeg HTTP/1.1" 304 -
112.17.240.245 - - [04/Jul/2019:21:20:43 +0800] "GET /%E5%B0%8F%E4%BD%9B%E7%88%B7/acfa2513-0d56-49fe-ae07-f4fc17350df9.png_406x235.jpeg HTTP/1.1" 304 -
